flight_id,airline_name,departure_city,arrival_city,flight_status,passenger_count,flight_duration_hours,ticket_price_usd,delay_minutes,fuel_consumed_tons,scheduled_departure_date,actual_arrival_date
FL-0134,Philippine Airlines,Clark,Tokyo,On Time,159,2.12,165.18,120,14.17,2026-01-23 04:00:00,2026-01-23 06:00:00
FL-0135,AirAsia,Clark,Tokyo,On Time,176,3.55,201.77,0,10.25,2026-01-23 08:00:00,2026-01-23 10:00:00
FL-0136,Philippine Airlines,Manila,Seoul,On Time,192,2.13,484.53,0,9.84,2026-01-23 12:00:00,2026-01-23 14:00:00
FL-0137,Philippine Airlines,Clark,Seoul,On Time,140,2.65,312.75,0,14.66,2026-01-23 16:00:00,2026-01-23 18:00:00
FL-0138,Philippine Airlines,Manila,Tokyo,On Time,216,7.92,382.71,0,22.74,2026-01-23 20:00:00,2026-01-23 22:00:00
FL-0139,AirAsia,Iloilo,Bangkok,On Time,85,4.39,110.5,0,12.57,2026-01-24 00:00:00,2026-01-24 02:00:00
FL-0140,Philippine Airlines,Cebu,Hong Kong,Delayed,188,4.96,117.22,30,19.99,2026-01-24 04:00:00,2026-01-24 06:00:00
FL-0141,PAL Express,Cebu,Hong Kong,On Time,114,7.18,322.91,0,6.94,2026-01-24 08:00:00,2026-01-24 10:00:00
FL-0142,Philippine Airlines,Manila,Seoul,On Time,118,7.97,508.33,0,14.52,2026-01-24 12:00:00,2026-01-24 14:00:00
FL-0143,PAL Express,Cebu,Hong Kong,Delayed,197,5.29,542.62,0,24.83,2026-01-24 16:00:00,2026-01-24 18:00:00
FL-0144,PAL Express,Clark,Tokyo,On Time,84,6.78,143.35,0,20.41,2026-01-24 20:00:00,2026-01-24 22:00:00
FL-0145,PAL Express,Davao,Tokyo,On Time,166,3.63,369.18,0,9.21,2026-01-25 00:00:00,2026-01-25 02:00:00
FL-0146,AirAsia,Manila,Seoul,Delayed,155,3.49,556.61,0,15.03,2026-01-25 04:00:00,2026-01-25 06:00:00
FL-0147,AirAsia,Cebu,Seoul,Delayed,136,4.12,293.99,0,9.67,2026-01-25 08:00:00,2026-01-25 10:00:00
FL-0148,AirAsia,Manila,Seoul,On Time,206,5.87,514.78,0,13.19,2026-01-25 12:00:00,2026-01-25 14:00:00
FL-0149,Philippine Airlines,Manila,Bangkok,On Time,108,5.93,166.85,0,20.6,2026-01-25 16:00:00,2026-01-25 18:00:00
FL-0150,PAL Express,Davao,Hong Kong,Cancelled,166,3.55,567.7,60,20.42,2026-01-25 20:00:00,2026-01-25 22:00:00
FL-0151,AirAsia,Clark,Seoul,On Time,125,2.37,475.71,0,9.56,2026-01-26 00:00:00,2026-01-26 02:00:00
FL-0152,AirAsia,Manila,Singapore,On Time,195,5.61,570.67,30,23.44,2026-01-26 04:00:00,2026-01-26 06:00:00
FL-0153,Philippine Airlines,Cebu,Singapore,Delayed,191,2.33,438.31,15,16.85,2026-01-26 08:00:00,2026-01-26 10:00:00
FL-0154,AirAsia,Iloilo,Tokyo,On Time,124,5.26,281.7,0,12.6,2026-01-26 12:00:00,2026-01-26 14:00:00
FL-0155,Philippine Airlines,Manila,Hong Kong,On Time,183,6.01,569.09,0,15.04,2026-01-26 16:00:00,2026-01-26 18:00:00
FL-0156,Cebu Pacific,Manila,Seoul,On Time,164,6.05,237.78,0,17.1,2026-01-26 20:00:00,2026-01-26 22:00:00
FL-0157,AirAsia,Davao,Singapore,Delayed,213,6.4,266.09,0,16.2,2026-01-27 00:00:00,2026-01-27 02:00:00
FL-0158,Cebu Pacific,Clark,Hong Kong,On Time,187,7.17,450.4,0,14.73,2026-01-27 04:00:00,2026-01-27 06:00:00
FL-0159,Philippine Airlines,Iloilo,Tokyo,On Time,97,4.75,482.66,15,15.1,2026-01-27 08:00:00,2026-01-27 10:00:00
FL-0160,PAL Express,Cebu,Bangkok,On Time,173,6.25,564.7,45,8.53,2026-01-27 12:00:00,2026-01-27 14:00:00
FL-0161,AirAsia,Iloilo,Hong Kong,On Time,112,5.52,202.4,0,21.25,2026-01-27 16:00:00,2026-01-27 18:00:00
FL-0162,Philippine Airlines,Cebu,Hong Kong,On Time,205,2.71,499.0,0,15.84,2026-01-27 20:00:00,2026-01-27 22:00:00
FL-0163,PAL Express,Clark,Bangkok,Delayed,201,1.67,469.27,0,7.62,2026-01-28 00:00:00,2026-01-28 02:00:00
FL-0164,PAL Express,Cebu,Hong Kong,On Time,217,3.35,131.9,30,20.32,2026-01-28 04:00:00,2026-01-28 06:00:00
FL-0165,Cebu Pacific,Davao,Tokyo,On Time,194,4.38,293.61,0,23.65,2026-01-28 08:00:00,2026-01-28 10:00:00
FL-0166,Philippine Airlines,Davao,Tokyo,Delayed,107,5.51,241.38,0,23.95,2026-01-28 12:00:00,2026-01-28 14:00:00
FL-0167,PAL Express,Davao,Bangkok,On Time,90,7.02,252.25,15,12.38,2026-01-28 16:00:00,2026-01-28 18:00:00
FL-0168,AirAsia,Davao,Seoul,Cancelled,126,2.78,591.47,0,7.71,2026-01-28 20:00:00,2026-01-28 22:00:00
FL-0169,AirAsia,Iloilo,Singapore,On Time,206,2.32,421.39,45,15.37,2026-01-29 00:00:00,2026-01-29 02:00:00
FL-0170,Cebu Pacific,Clark,Seoul,On Time,197,7.76,458.84,0,7.25,2026-01-29 04:00:00,2026-01-29 06:00:00
FL-0171,PAL Express,Cebu,Hong Kong,On Time,205,2.2,588.31,0,23.68,2026-01-29 08:00:00,2026-01-29 10:00:00
FL-0172,Philippine Airlines,Cebu,Singapore,Cancelled,151,4.61,288.6,60,8.67,2026-01-29 12:00:00,2026-01-29 14:00:00
FL-0173,AirAsia,Davao,Bangkok,On Time,186,5.31,500.92,0,10.06,2026-01-29 16:00:00,2026-01-29 18:00:00
FL-0174,PAL Express,Davao,Bangkok,On Time,216,5.02,317.27,0,13.13,2026-01-29 20:00:00,2026-01-29 22:00:00
FL-0175,PAL Express,Manila,Singapore,On Time,112,2.06,534.77,0,12.66,2026-01-30 00:00:00,2026-01-30 02:00:00
FL-0176,Cebu Pacific,Clark,Tokyo,On Time,98,1.87,190.33,0,20.89,2026-01-30 04:00:00,2026-01-30 06:00:00
FL-0177,AirAsia,Iloilo,Singapore,On Time,153,2.19,573.84,0,14.13,2026-01-30 08:00:00,2026-01-30 10:00:00
FL-0178,AirAsia,Cebu,Hong Kong,Cancelled,177,5.31,209.39,0,8.42,2026-01-30 12:00:00,2026-01-30 14:00:00
FL-0179,Philippine Airlines,Manila,Tokyo,On Time,208,5.04,263.11,0,10.34,2026-01-30 16:00:00,2026-01-30 18:00:00
FL-0180,AirAsia,Manila,Bangkok,Delayed,172,3.02,478.1,0,15.18,2026-01-30 20:00:00,2026-01-30 22:00:00
FL-0181,Philippine Airlines,Cebu,Singapore,On Time,127,5.65,296.88,15,7.95,2026-01-31 00:00:00,2026-01-31 02:00:00
FL-0182,AirAsia,Iloilo,Seoul,On Time,143,6.83,404.11,30,17.23,2026-01-31 04:00:00,2026-01-31 06:00:00
FL-0183,Cebu Pacific,Manila,Seoul,On Time,140,1.77,322.29,0,16.31,2026-01-31 08:00:00,2026-01-31 10:00:00
FL-0184,AirAsia,Manila,Hong Kong,On Time,118,4.74,471.18,0,19.29,2026-01-31 12:00:00,2026-01-31 14:00:00
FL-0185,Philippine Airlines,Clark,Seoul,Delayed,207,5.98,214.17,0,23.75,2026-01-31 16:00:00,2026-01-31 18:00:00
FL-0186,Philippine Airlines,Iloilo,Singapore,Cancelled,167,3.14,129.23,0,23.25,2026-01-31 20:00:00,2026-01-31 22:00:00
FL-0187,Cebu Pacific,Manila,Singapore,On Time,105,3.5,249.96,15,23.92,2026-02-01 00:00:00,2026-02-01 02:00:00
FL-0188,AirAsia,Iloilo,Seoul,On Time,96,5.49,337.15,15,9.89,2026-02-01 04:00:00,2026-02-01 06:00:00
FL-0189,AirAsia,Cebu,Singapore,On Time,150,7.34,184.01,0,7.63,2026-02-01 08:00:00,2026-02-01 10:00:00
FL-0190,Cebu Pacific,Davao,Hong Kong,Cancelled,92,6.76,277.4,0,11.05,2026-02-01 12:00:00,2026-02-01 14:00:00
FL-0191,AirAsia,Manila,Tokyo,On Time,148,5.29,299.99,0,22.9,2026-02-01 16:00:00,2026-02-01 18:00:00
FL-0192,AirAsia,Clark,Hong Kong,On Time,105,6.25,128.7,0,24.44,2026-02-01 20:00:00,2026-02-01 22:00:00
FL-0193,Philippine Airlines,Cebu,Hong Kong,Delayed,128,3.87,391.65,0,22.19,2026-02-02 00:00:00,2026-02-02 02:00:00
FL-0194,AirAsia,Iloilo,Singapore,On Time,86,5.67,542.17,120,7.2,2026-02-02 04:00:00,2026-02-02 06:00:00
FL-0195,AirAsia,Cebu,Tokyo,On Time,137,4.53,175.87,15,23.95,2026-02-02 08:00:00,2026-02-02 10:00:00
FL-0196,Cebu Pacific,Manila,Singapore,On Time,128,2.73,398.9,0,13.47,2026-02-02 12:00:00,2026-02-02 14:00:00
FL-0197,Cebu Pacific,Iloilo,Bangkok,Cancelled,182,6.06,432.37,0,5.19,2026-02-02 16:00:00,2026-02-02 18:00:00
