flight_date,total_flights
2024-04-21,178
2024-04-22,166
2024-04-23,171
2024-04-24,175
2024-04-25,172
2024-04-26,170
2024-04-27,161
2024-04-28,151
2024-04-29,160
2024-04-30,168
2024-05-01,157
2024-05-02,169
2024-05-03,170
2024-05-04,165
2024-05-05,163
2024-05-06,168
2024-05-07,175
2024-05-08,181
2024-05-09,158
2024-05-10,154
2024-05-11,162
2024-05-12,181
2024-05-13,154
2024-05-14,167
2024-05-15,166
2024-05-16,145
2024-05-17,172
2024-05-18,150
2024-05-19,154
2024-05-20,167
2024-05-21,169
2024-05-22,178
2024-05-23,189
2024-05-24,173
2024-05-25,162
2024-05-26,162
2024-05-27,152
2024-05-28,152
2024-05-29,173
2024-05-30,164
2024-05-31,169
2024-06-01,162
2024-06-02,176
2024-06-03,153
2024-06-04,180
2024-06-05,155
2024-06-06,178
2024-06-07,164
2024-06-08,151
2024-06-09,153
2024-06-10,157
2024-06-11,154
2024-06-12,164
2024-06-13,179
2024-06-14,167
2024-06-15,170
2024-06-16,177
2024-06-17,167
2024-06-18,161
2024-06-19,160
2024-06-20,142
2024-06-21,182
2024-06-22,175
2024-06-23,176
2024-06-24,170
2024-06-25,152
2024-06-26,171
2024-06-27,145
2024-06-28,164
2024-06-29,149
2024-06-30,167
2024-07-01,145
2024-07-02,159
2024-07-03,155
2024-07-04,140
2024-07-05,163
2024-07-06,147
2024-07-07,168
2024-07-08,162
2024-07-09,163
2024-07-10,131
2024-07-11,156
2024-07-12,150
2024-07-13,171
2024-07-14,155
2024-07-15,161
2024-07-16,138
2024-07-17,162
2024-07-18,146
2024-07-19,167
2024-07-20,152
2024-07-21,156
2024-07-22,155
2024-07-23,158
2024-07-24,142
2024-07-25,158
2024-07-26,156
2024-07-27,144
2024-07-28,156
2024-07-29,150
2024-07-30,157
2024-07-31,136
2024-08-01,150
2024-08-02,154
2024-08-03,154
2024-08-04,140
2024-08-05,157
2024-08-06,157
2024-08-07,167
2024-08-08,165
2024-08-09,131
2024-08-10,164
2024-08-11,156
2024-08-12,152
2024-08-13,144
2024-08-14,144
2024-08-15,157
2024-08-16,140
2024-08-17,145
2024-08-18,136
2024-08-19,153
2024-08-20,155
2024-08-21,176
2024-08-22,155
2024-08-23,144
2024-08-24,160
2024-08-25,166
2024-08-26,171
2024-08-27,147
2024-08-28,149
2024-08-29,145
2024-08-30,154
2024-08-31,137
2024-09-01,148
2024-09-02,160
2024-09-03,159
2024-09-04,148
2024-09-05,169
2024-09-06,158
2024-09-07,170
2024-09-08,150
2024-09-09,145
2024-09-10,167
2024-09-11,157
2024-09-12,151
2024-09-13,166
2024-09-14,160
2024-09-15,153
2024-09-16,163
2024-09-17,162
2024-09-18,164
2024-09-19,168
2024-09-20,161
2024-09-21,145
2024-09-22,149
2024-09-23,156
2024-09-24,167
2024-09-25,156
2024-09-26,147
2024-09-27,162
2024-09-28,165
2024-09-29,165
2024-09-30,171
2024-10-01,157
2024-10-02,142
2024-10-03,147
2024-10-04,171
2024-10-05,165
2024-10-06,171
2024-10-07,170
2024-10-08,160
2024-10-09,161
2024-10-10,154
2024-10-11,156
2024-10-12,158
2024-10-13,175
2024-10-14,172
2024-10-15,172
2024-10-16,167
2024-10-17,177
2024-10-18,170
2024-10-19,156
2024-10-20,163
2024-10-21,188
2024-10-22,161
2024-10-23,166
2024-10-24,194
2024-10-25,176
2024-10-26,165
2024-10-27,179
2024-10-28,178
2024-10-29,174
2024-10-30,159
2024-10-31,191
2024-11-01,180
2024-11-02,176
2024-11-03,186
2024-11-04,184
2024-11-05,178
2024-11-06,174
2024-11-07,188
2024-11-08,190
2024-11-09,170
2024-11-10,179
2024-11-11,175
2024-11-12,187
2024-11-13,187
2024-11-14,171
2024-11-15,190
2024-11-16,205
2024-11-17,177
2024-11-18,213
2024-11-19,188
2024-11-20,195
2024-11-21,188
2024-11-22,190
2024-11-23,201
2024-11-24,174
2024-11-25,196
2024-11-26,194
2024-11-27,192
2024-11-28,181
2024-11-29,185
2024-11-30,201
2024-12-01,197
2024-12-02,204
2024-12-03,193
2024-12-04,207
2024-12-05,216
2024-12-06,212
2024-12-07,192
2024-12-08,193
2024-12-09,197
2024-12-10,227
2024-12-11,224
2024-12-12,204
2024-12-13,201
2024-12-14,220
2024-12-15,214
2024-12-16,217
2024-12-17,200
2024-12-18,222
2024-12-19,207
2024-12-20,204
2024-12-21,224
2024-12-22,213
2024-12-23,214
2024-12-24,215
2024-12-25,228
2024-12-26,211
2024-12-27,233
2024-12-28,218
2024-12-29,202
2024-12-30,236
2024-12-31,223
2025-01-01,244
2025-01-02,216
2025-01-03,226
2025-01-04,224
2025-01-05,218
2025-01-06,214
2025-01-07,225
2025-01-08,246
2025-01-09,244
2025-01-10,227
2025-01-11,215
2025-01-12,227
2025-01-13,243
2025-01-14,223
2025-01-15,225
2025-01-16,238
2025-01-17,235
2025-01-18,224
2025-01-19,243
2025-01-20,251
2025-01-21,237
2025-01-22,247
2025-01-23,237
2025-01-24,250
2025-01-25,241
2025-01-26,230
2025-01-27,232
2025-01-28,237
2025-01-29,240
2025-01-30,260
2025-01-31,231
2025-02-01,234
2025-02-02,253
2025-02-03,230
2025-02-04,266
2025-02-05,250
2025-02-06,226
2025-02-07,260
2025-02-08,251
2025-02-09,271
2025-02-10,260
2025-02-11,242
2025-02-12,265
2025-02-13,257
2025-02-14,251
2025-02-15,263
2025-02-16,266
2025-02-17,253
2025-02-18,257
2025-02-19,249
2025-02-20,265
2025-02-21,252
2025-02-22,256
2025-02-23,257
2025-02-24,285
2025-02-25,274
2025-02-26,260
2025-02-27,262
2025-02-28,261
2025-03-01,278
2025-03-02,278
2025-03-03,257
2025-03-04,288
2025-03-05,287
2025-03-06,278
2025-03-07,281
2025-03-08,278
2025-03-09,280
2025-03-10,273
2025-03-11,286
2025-03-12,270
2025-03-13,268
2025-03-14,296
2025-03-15,286
2025-03-16,278
2025-03-17,267
2025-03-18,281
2025-03-19,262
2025-03-20,278
2025-03-21,260
2025-03-22,280
2025-03-23,285
2025-03-24,286
2025-03-25,285
2025-03-26,265
2025-03-27,284
2025-03-28,263
2025-03-29,281
2025-03-30,300
2025-03-31,270
2025-04-01,284
2025-04-02,273
2025-04-03,276
2025-04-04,301
2025-04-05,281
2025-04-06,281
2025-04-07,295
2025-04-08,289
2025-04-09,284
2025-04-10,283
2025-04-11,276
2025-04-12,276
2025-04-13,294
2025-04-14,288
2025-04-15,279
2025-04-16,283
2025-04-17,288
2025-04-18,277
2025-04-19,296
2025-04-20,287
2025-04-21,267
2025-04-22,283
2025-04-23,276
2025-04-24,294
2025-04-25,278
2025-04-26,288
2025-04-27,272
2025-04-28,282
2025-04-29,282
2025-04-30,303
2025-05-01,288
2025-05-02,289
2025-05-03,271
2025-05-04,308
2025-05-05,291
2025-05-06,305
2025-05-07,286
2025-05-08,276
2025-05-09,286
2025-05-10,304
2025-05-11,276
2025-05-12,274
2025-05-13,276
2025-05-14,287
2025-05-15,287
2025-05-16,286
2025-05-17,292
2025-05-18,296
2025-05-19,305
2025-05-20,294
2025-05-21,304
2025-05-22,284
2025-05-23,287
2025-05-24,279
2025-05-25,277
2025-05-26,297
2025-05-27,287
2025-05-28,291
2025-05-29,298
2025-05-30,292
2025-05-31,276
2025-06-01,304
2025-06-02,294
2025-06-03,277
2025-06-04,299
2025-06-05,308
2025-06-06,289
2025-06-07,289
2025-06-08,281
2025-06-09,280
2025-06-10,287
2025-06-11,275
2025-06-12,290
2025-06-13,308
2025-06-14,274
2025-06-15,277
2025-06-16,282
2025-06-17,278
2025-06-18,289
2025-06-19,299
2025-06-20,271
2025-06-21,278
2025-06-22,287
2025-06-23,274
2025-06-24,298
2025-06-25,280
2025-06-26,285
2025-06-27,273
2025-06-28,291
2025-06-29,299
2025-06-30,275
2025-07-01,294
2025-07-02,292
2025-07-03,293
2025-07-04,295
2025-07-05,290
2025-07-06,269
2025-07-07,270
2025-07-08,272
2025-07-09,270
2025-07-10,276
2025-07-11,278
2025-07-12,261
2025-07-13,291
2025-07-14,296
2025-07-15,297
2025-07-16,296
2025-07-17,294
2025-07-18,276
2025-07-19,292
2025-07-20,280
2025-07-21,284
2025-07-22,287
2025-07-23,263
2025-07-24,276
2025-07-25,268
2025-07-26,264
2025-07-27,273
2025-07-28,297
2025-07-29,280
2025-07-30,292
2025-07-31,272
2025-08-01,268
2025-08-02,285
2025-08-03,266
2025-08-04,288
2025-08-05,285
2025-08-06,282
2025-08-07,263
2025-08-08,278
2025-08-09,270
2025-08-10,285
2025-08-11,279
2025-08-12,308
2025-08-13,296
2025-08-14,285
2025-08-15,277
2025-08-16,272
2025-08-17,296
2025-08-18,283
2025-08-19,270
2025-08-20,287
2025-08-21,284
2025-08-22,274
